Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,imu_string
1711642272.4598796,0,1711642272,459058284,imu1_frame,0,0,0,,-0.706494302,0.6521871702375577,-0.206355575,-0.181480227,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.018727,0.005132,-0.2264,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.988,-0.703,-9.737,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2068,0.2086,-0.3212,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-080.035,-002.585,+000.015,-00.2068,+00.2086,-00.3212,-00.988,-00.703,-09.737,-00.018727,+00.005132,-00.226401*60\r\n'"
1711642272.484691,0,1711642272,484017372,imu1_frame,0,0,0,,-0.591518326,0.7580335780344528,-0.172487781,-0.213867084,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.015773,0.004713,-0.22481,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.92,-0.616,-9.737,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2067,0.211,-0.3116,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-080.359,-002.585,+000.010,-00.2067,+00.2110,-00.3116,-00.920,-00.616,-09.737,-00.015773,+00.004713,-00.224815*6E\r\n'"
1711642272.5094073,0,1711642272,508933782,imu1_frame,0,0,0,,-0.4613869,0.8434335737122751,-0.134396791,-0.240165437,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.016596,0.004307,-0.22361,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.875,-0.701,-9.813,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2104,0.1991,-0.3158,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-080.682,-002.584,+000.006,-00.2104,+00.1991,-00.3158,-00.875,-00.701,-09.813,-00.016596,+00.004307,-00.223610*6F\r\n'"
1711642272.5348074,0,1711642272,533796548,imu1_frame,0,0,0,,-0.319927619,0.906301173,-0.092341785,-0.260264284,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.015496,0.00538,-0.22521,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.941,-0.726,-9.779,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2046,0.1941,-0.3018,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-081.003,-002.582,+000.001,-00.2046,+00.1941,-00.3018,-00.941,-00.726,-09.779,-00.015496,+00.005380,-00.225211*60\r\n'"
1711642272.5599468,0,1711642272,559222936,imu1_frame,0,0,0,,-0.17035848,0.9454700559817576,-0.04792682,-0.273436248,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.012774,0.005632,-0.22612,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.977,-0.815,-9.777,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2069,0.199,-0.2992,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-081.324,-002.579,-000.003,-00.2069,+00.1990,-00.2992,-00.977,-00.815,-09.777,-00.012774,+00.005632,-00.226122*6D\r\n'"
1711642272.585743,0,1711642272,584604501,imu1_frame,0,0,0,,-0.016163296,0.9601389052821923,-0.002059637,-0.279048004,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.016675,0.005879,-0.22665,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.963,-0.664,-10.017,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.207,0.1917,-0.2992,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-081.646,-002.576,-000.006,-00.2070,+00.1917,-00.2992,-00.963,-00.664,-10.017,-00.016675,+00.005879,-00.226650*62\r\n'"
1711642272.6099885,0,1711642272,608868598,imu1_frame,0,0,0,,0.13919159921337637,0.9497106018644925,0.042845190526415854,-0.277199858,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.017041,0.003193,-0.2218,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.834,-0.383,-9.796,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.207,0.1857,-0.2978,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-081.971,-002.573,-000.005,-00.2070,+00.1857,-00.2978,-00.834,-00.383,-09.796,-00.017041,+00.003193,-00.221806*66\r\n'"
1711642272.634829,0,1711642272,634262561,imu1_frame,0,0,0,,0.2900741164990975,0.9142393201777081,0.086802983,-0.269237283,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.01328,0.00347,-0.22506,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.947,-0.521,-9.647,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2072,0.1724,-0.2841,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.295,-002.568,-000.003,-00.2072,+00.1724,-00.2841,-00.947,-00.521,-09.647,-00.013280,+00.003470,-00.225062*61\r\n'"
1711642272.660691,0,1711642272,659950256,imu1_frame,0,0,0,,0.4336720489384714,0.8550366949370864,0.13016921232629736,-0.252778125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.01785,0.002925,-0.22307,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.97,-0.622,-9.719,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2071,0.1773,-0.2786,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.619,-002.565,-000.004,-00.2071,+00.1773,-00.2786,-00.970,-00.622,-09.719,-00.017850,+00.002925,-00.223075*6F\r\n'"
1711642272.6849415,0,1711642272,684256076,imu1_frame,0,0,0,,0.5658010383717907,0.7732596699049471,0.17113901827801956,-0.229456105,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.013245,0.001452,-0.22655,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.948,-0.64,-9.562,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2072,0.1725,-0.2745,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.943,-002.561,-000.006,-00.2072,+00.1725,-00.2745,-00.948,-00.640,-09.562,-00.013245,+00.001452,-00.226557*63\r\n'"
