%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.hdop,field.gngga_read,field.fix_quality
1708069405130447240,171,1708104605000000000,GPS1_Frame,42.337231843333335,-71.08691782833333,4.33,328078.38929674804,4689328.992853983,19,T,1.2,,5
1708069406136979879,172,1708104606000000000,GPS1_Frame,42.33723182833333,-71.086918145,4.328,328078.3631675807,4689328.9918286055,19,T,1.2,,5
1708069407144778996,173,1708104607000000000,GPS1_Frame,42.337231773333336,-71.08691837166667,4.323,328078.3443439703,4689328.986179566,19,T,1.2,,5
1708069408150358330,174,1708104608000000000,GPS1_Frame,42.33723178666666,-71.08691864833334,4.321,328078.32158738014,4689328.988219512,19,T,1.2,,5
1708069409158691518,175,1708104609000000000,GPS1_Frame,42.33723184833333,-71.08691892833333,4.316,328078.2986878951,4689328.995633248,19,T,1.2,,5
1708069410163611015,176,1708104610000000000,GPS1_Frame,42.337231906666666,-71.08691917666667,4.309,328078.27838815347,4689329.002612817,19,T,1.2,,5
1708069411174673445,177,1708104611000000000,GPS1_Frame,42.33723194,-71.0869194,4.316,328078.2600798815,4689329.006765779,19,T,1.2,,5
1708069412177415793,178,1708104612000000000,GPS1_Frame,42.33723202,-71.08691961833334,4.316,328078.24231070885,4689329.01609061,19,T,1.2,,5
1708069413183013734,179,1708104613000000000,GPS1_Frame,42.337232025,-71.08691979833333,4.325,328078.22749520116,4689329.017009757,19,T,1.2,,5
1708069414189524039,180,1708104614000000000,GPS1_Frame,42.337232031666666,-71.08691995833334,4.33,328078.2143319181,4689329.018073539,19,T,1.2,,5
1708069415193522484,181,1708104615000000000,GPS1_Frame,42.337232055,-71.08692011666666,4.334,328078.20135136147,4689329.020984656,19,T,1.2,,5
1708069416201394290,182,1708104616000000000,GPS1_Frame,42.33723207833334,-71.08692027666666,4.341,328078.1882334985,4689329.0238991445,19,T,1.2,,5
1708069417208588221,183,1708104617000000000,GPS1_Frame,42.337232125,-71.086920415,4.344,328078.17696421035,4689329.029360812,19,T,1.2,,5
1708069418214895498,184,1708104618000000000,GPS1_Frame,42.33723216833334,-71.08692052666666,4.35,328078.16788274643,4689329.034398425,19,T,1.2,,5
1708069419224450716,185,1708104619000000000,GPS1_Frame,42.337232245,-71.08692065833333,4.354,328078.1572444419,4689329.043177887,19,T,1.2,,5
1708069420229661845,186,1708104620000000000,GPS1_Frame,42.33723228,-71.08692073166667,4.366,328078.1512983271,4689329.047212639,19,T,1.2,,5
1708069421236176856,187,1708104621000000000,GPS1_Frame,42.33723229833333,-71.08692087333333,4.376,328078.13967721234,4689329.049534847,19,T,1.2,,5
1708069422245186637,188,1708104622000000000,GPS1_Frame,42.33723232,-71.08692098666667,4.385,328078.13039939397,4689329.05216991,19,T,1.2,,5
1708069423251019352,189,1708104623000000000,GPS1_Frame,42.337232325,-71.08692105666667,4.396,328078.12464613584,4689329.052866654,19,T,1.2,,5
