%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.hdop,field.gngga_read,field.fix_quality
1708069974603042901,29,1708102965000000000,GPS1_Frame,42.33831472666667,-71.086356095,23.799,328127.6174815207,4689448.103190649,19,T,1.1,,5
1708069975697462035,30,1708102966000000000,GPS1_Frame,42.338321021666665,-71.08634869166667,23.721,328128.24453856563,4689448.787237893,19,T,1.1,,5
1708069976791260813,31,1708102967000000000,GPS1_Frame,42.338327585,-71.08634112666667,23.584,328128.88564509025,4689449.500754785,19,T,1.1,,5
1708069977889024704,32,1708102968000000000,GPS1_Frame,42.33833404666667,-71.08633341666666,23.51,328129.53841997945,4689450.202689332,19,T,1.0,,5
1708069978979507944,33,1708102969000000000,GPS1_Frame,42.338340425,-71.086325275,23.432,328130.22652953153,4689450.894497877,19,T,1.0,,5
1708069980069042511,34,1708102970000000000,GPS1_Frame,42.33834735666667,-71.08631726166666,23.504,328130.9055740532,4689451.648009338,19,T,1.0,,5
1708069981159167142,35,1708102971000000000,GPS1_Frame,42.338354255,-71.08630991666666,23.585,328131.5294685784,4689452.399170338,19,T,1.0,,5
1708069982247820622,36,1708102972000000000,GPS1_Frame,42.33836117166667,-71.086301785,23.475,328132.2182205601,4689453.150777099,19,T,1.0,,5
1708069983339605138,37,1708102973000000000,GPS1_Frame,42.338368225,-71.08629386,23.413,328132.890319005,4689453.917977444,19,T,1.1,,5
1708069984432584842,38,1708102974000000000,GPS1_Frame,42.33837506333333,-71.08628599166667,23.355,328133.55716320506,4689454.661418274,19,T,1.0,,5
1708069985525270544,39,1708102975000000000,GPS1_Frame,42.338382,-71.086277735,23.232,328134.25626706704,4689455.414993415,19,T,1.1,,5
1708069986621332182,40,1708102976000000000,GPS1_Frame,42.338389291666665,-71.08626922,23.049,328134.9776201071,4689456.20746651,19,T,1.6,,5
1708069987711558353,41,1708102977000000000,GPS1_Frame,42.33839684833333,-71.08626112333333,22.947,328135.6652315884,4689457.030211458,19,T,1.0,,5
1708069988802536659,42,1708102978000000000,GPS1_Frame,42.33840354666667,-71.08625270833333,22.819,328136.3767295837,4689457.757001669,19,T,1.0,,5
1708069989897787267,43,1708102979000000000,GPS1_Frame,42.33841065666667,-71.08624495166667,22.882,328137.03511380724,4689458.5308350315,19,T,1.1,,5
1708069990988577282,44,1708102980000000000,GPS1_Frame,42.33841752666667,-71.08623691666666,22.902,328137.7157738406,4689459.27745571,19,T,1.0,,5
1708069992079511965,45,1708102981000000000,GPS1_Frame,42.33842453166667,-71.08622778666667,22.842,328138.4870103691,4689460.036853954,19,T,1.0,,5
1708069993171149937,46,1708102982000000000,GPS1_Frame,42.338431781666664,-71.086219475,22.662,328139.191497852,4689460.825111673,19,T,1.0,,5
1708069994259606688,47,1708102983000000000,GPS1_Frame,42.338438896666666,-71.08621170333333,22.574,328139.8511308471,4689461.5994701795,19,T,1.6,,5
1708069995351417649,48,1708102984000000000,GPS1_Frame,42.33844610166667,-71.08620450666666,22.48,328140.4636389628,4689462.384984742,19,T,1.1,,5
1708069996441447940,49,1708102985000000000,GPS1_Frame,42.33845367166667,-71.08619605666667,22.305,328141.180394018,4689463.208496614,19,T,1.1,,5
1708069997532760206,50,1708102986000000000,GPS1_Frame,42.33846094333333,-71.08618758166666,22.112,328141.89839572285,4689463.998830385,19,T,1.0,,5
1708069998627360635,51,1708102987000000000,GPS1_Frame,42.338468545,-71.08617903666666,21.991,328142.6230630574,4689464.82566673,19,T,1.0,,5
1708069999717780384,52,1708102988000000000,GPS1_Frame,42.33847574833333,-71.08617061166666,21.997,328143.3367591571,4689465.608513801,19,T,1.0,,5
1708070000804388229,53,1708102989000000000,GPS1_Frame,42.338483221666664,-71.08616204166667,21.887,328144.06313610636,4689466.421049319,19,T,1.0,,5
1708070001895819615,54,1708102990000000000,GPS1_Frame,42.33849078833333,-71.08615238,21.729,328144.8797013018,4689467.241742462,19,T,1.0,,5
1708070003072198021,55,1708102991000000000,GPS1_Frame,42.33849882,-71.08614312833333,21.668,328145.6637562985,4689468.114899064,19,T,1.0,,5
1708070004246507609,56,1708102992000000000,GPS1_Frame,42.338506306666666,-71.08613414,21.695,328146.42463235836,4689468.928069876,19,T,1.1,,5
1708070005422425174,57,1708102993000000000,GPS1_Frame,42.338513893333335,-71.086126185,21.699,328147.1006521939,4689469.754433483,19,T,1.0,,5
1708070006596292999,58,1708102994000000000,GPS1_Frame,42.33852162833333,-71.08611758333333,21.677,328147.83034990996,4689470.59596146,19,T,1.0,,5
1708070007775043063,59,1708102995000000000,GPS1_Frame,42.33852840833333,-71.086109395,21.73,328148.5233944553,4689471.332279415,19,T,1.0,,5
1708070008946710315,60,1708102996000000000,GPS1_Frame,42.338535906666664,-71.086101335,21.751,328149.20782333496,4689472.148622256,19,T,1.0,,5
1708070010037671395,61,1708102997000000000,GPS1_Frame,42.33854335666667,-71.08609254666666,21.692,328149.9521222054,4689472.958126095,19,T,1.0,,5
1708070011125654622,62,1708102998000000000,GPS1_Frame,42.33855106,-71.08608385666666,21.722,328150.6890101008,4689473.795959482,19,T,1.0,,5
1708070012300691992,63,1708102999000000000,GPS1_Frame,42.33855844333333,-71.08607543,21.735,328151.4033320759,4689474.598791592,19,T,1.0,,5
1708070013471408736,64,1708103000000000000,GPS1_Frame,42.338565593333335,-71.08606685,21.73,328152.1296502125,4689475.375403988,19,T,1.0,,5
1708070014730842451,65,1708103001000000000,GPS1_Frame,42.33857226666667,-71.08605860833333,21.774,328152.8267969965,4689476.099770039,19,T,1.0,,5
1708070015823684474,66,1708103002000000000,GPS1_Frame,42.33857857833333,-71.08605161666667,21.866,328153.4199805289,4689476.786502121,19,T,1.1,,5
1708070016997398821,67,1708103003000000000,GPS1_Frame,42.33858364666666,-71.08604630166667,21.928,328153.8716492882,4689477.338560145,19,T,1.1,,5
1708070018174264417,68,1708103004000000000,GPS1_Frame,42.33858507,-71.08604302666667,21.767,328154.1453286647,4689477.4899916025,19,T,0.9,,5
1708070019343585160,69,1708102929000000000,GPS1_Frame,42.33811456,-71.08660974833333,31.043,328106.1754230639,4689426.3889553705,19,T,1.3,,5
1708070020373453633,70,1708102930000000000,GPS1_Frame,42.338112796666664,-71.08660249,29.536,328106.7685809598,4689426.178477418,19,T,1.0,,5
1708070021546401404,71,1708102931000000000,GPS1_Frame,42.33811439,-71.08659823833334,28.618,328107.12318723113,4689426.346809926,19,T,1.2,,5
1708070022719556719,72,1708102932000000000,GPS1_Frame,42.33811891333333,-71.086592055,28.418,328107.6449135308,4689426.836591646,19,T,1.0,,5
1708070023809959640,73,1708102933000000000,GPS1_Frame,42.338125803333334,-71.086586515,28.267,328108.1200888073,4689427.59047423,19,T,1.0,,5
1708070024988433462,74,1708102934000000000,GPS1_Frame,42.33813378833333,-71.08657675333333,27.92,328108.9460407584,4689428.457413968,19,T,1.0,,5
1708070026161559813,75,1708102935000000000,GPS1_Frame,42.338137795,-71.08657154,27.539,328109.38644756953,4689428.891784813,19,T,1.2,,5
