%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.hdop,field.gngga_read,field.fix_quality
1708068373126311900,22,1708102249000000000,GPS1_Frame,42.338245023333336,-71.08650513,23.654,328115.14966093947,4689440.664426002,19,T,0.8,,5
1708068374385353467,23,1708102250000000000,GPS1_Frame,42.3382448,-71.086505155,23.579,328115.1469928543,4689440.639677072,19,T,0.8,,5
1708068375643057879,24,1708102251000000000,GPS1_Frame,42.33824468,-71.08650519,23.551,328115.1437824935,4689440.62642274,19,T,0.8,,5
1708068376905734791,25,1708102252000000000,GPS1_Frame,42.33824449,-71.08650519833333,23.518,328115.14257827564,4689440.605341533,19,T,0.8,,5
1708068378164243189,26,1708102253000000000,GPS1_Frame,42.33824427166667,-71.08650520666667,23.473,328115.1412968577,4689440.5811141245,19,T,0.8,,5
1708068379422708948,27,1708102254000000000,GPS1_Frame,42.338244206666666,-71.08650521166666,23.463,328115.14070783695,4689440.573906477,19,T,0.8,,5
1708068380681517071,28,1708102255000000000,GPS1_Frame,42.338244125,-71.086505225,23.455,328115.13938688365,4689440.56486497,19,T,0.8,,5
1708068381940094723,29,1708102256000000000,GPS1_Frame,42.338244028333335,-71.08650528,23.439,328115.134592443,4689440.554242054,19,T,0.8,,5
1708068383198414501,30,1708102257000000000,GPS1_Frame,42.33824392333333,-71.08650537166666,23.435,328115.1267545967,4689440.542767905,19,T,0.8,,5
1708068384462763765,31,1708102258000000000,GPS1_Frame,42.33824372666667,-71.08650545333333,23.424,328115.1194908123,4689440.5210946575,19,T,0.8,,5
1708068385738747467,32,1708102259000000000,GPS1_Frame,42.338243585,-71.08650559333333,23.382,328115.10757122654,4689440.50564666,19,T,0.8,,5
1708068386994691458,33,1708102260000000000,GPS1_Frame,42.338243425,-71.08650570666667,23.389,328115.0977985607,4689440.48810898,19,T,0.8,,5
1708068388249179644,34,1708102261000000000,GPS1_Frame,42.33824332,-71.086505815,23.369,328115.0885876684,4689440.476668523,19,T,0.8,,5
1708068389507606528,35,1708102262000000000,GPS1_Frame,42.338243135,-71.08650596,23.38,328115.07613809715,4689440.4564187955,19,T,0.8,,5
1708068390770203922,36,1708102263000000000,GPS1_Frame,42.33824293833333,-71.08650614166666,23.383,328115.0606360398,4689440.434947695,19,T,0.8,,5
1708068392022889316,37,1708102264000000000,GPS1_Frame,42.33824279666667,-71.08650623666666,23.352,328115.0524236767,4689440.419408731,19,T,0.8,,5
1708068393278406040,38,1708102265000000000,GPS1_Frame,42.338242725,-71.08650626666666,23.371,328115.0497569245,4689440.411511337,19,T,0.8,,5
1708068394539585731,39,1708102266000000000,GPS1_Frame,42.338242691666665,-71.08650635666666,23.345,328115.042251653,4689440.407991858,19,T,0.8,,5
1708068395812656559,40,1708102267000000000,GPS1_Frame,42.338242525,-71.08650641666667,23.37,328115.0368545699,4689440.389606083,19,T,0.8,,5
1708068397066294013,41,1708102268000000000,GPS1_Frame,42.33824246166667,-71.08650640333333,23.37,328115.0377804403,4689440.382546445,19,T,0.8,,5
1708068398322300510,42,1708102269000000000,GPS1_Frame,42.338242361666666,-71.08650636333333,23.397,328115.0408032795,4689440.37136135,19,T,0.8,,5
1708068399581024096,43,1708102270000000000,GPS1_Frame,42.33824224833333,-71.08650635,23.393,328115.0415929163,4689440.358749593,19,T,0.8,,5
1708068400837332348,44,1708102271000000000,GPS1_Frame,42.338242066666666,-71.08650633833334,23.391,328115.04205905617,4689440.33855331,19,T,0.8,,5
1708068402094673712,45,1708102272000000000,GPS1_Frame,42.33824197333333,-71.08650635,23.375,328115.04084362066,4689440.328212938,19,T,0.8,,5
1708068403355003078,46,1708102273000000000,GPS1_Frame,42.338241923333335,-71.08650636,23.34,328115.03988355584,4689440.322681034,19,T,0.8,,5
1708068404611205168,47,1708102274000000000,GPS1_Frame,42.33824186,-71.086506415,23.28,328115.03517994087,4689440.315759531,19,T,0.8,,5
1708068405868923553,48,1708102275000000000,GPS1_Frame,42.33824179,-71.08650645333333,23.249,328115.0318312048,4689440.308064054,19,T,0.8,,5
