%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_easting,field.UTM_northing,field.Zone,field.Letter
1706905739754445045,1,73740000000000,GPS1_Frame,42.33697,-71.09441666666666,13.4,327459.8881699724,4689315.106051189,19,T
1706905740755047247,2,73741000000000,GPS1_Frame,42.33697,-71.09441833333334,13.4,327459.75086255185,4689315.109433085,19,T
1706905741753532326,3,73742000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905742753930771,4,73743000000000,GPS1_Frame,42.33697166666668,-71.09442,13.4,327459.6181134465,4689315.29788567,19,T
1706905743753542479,5,73744000000000,GPS1_Frame,42.33697166666668,-71.09442,13.4,327459.6181134465,4689315.29788567,19,T
1706905744754943549,6,73745000000000,GPS1_Frame,42.33697166666668,-71.09442,13.4,327459.6181134465,4689315.29788567,19,T
1706905745754688097,7,73746000000000,GPS1_Frame,42.33697166666668,-71.09442,13.4,327459.6181134465,4689315.29788567,19,T
1706905746756959599,8,73747000000000,GPS1_Frame,42.33697166666668,-71.09442,13.4,327459.6181134465,4689315.29788567,19,T
1706905747755691616,9,73748000000000,GPS1_Frame,42.33697166666668,-71.09442,13.4,327459.6181134465,4689315.29788567,19,T
1706905748756225171,10,73749000000000,GPS1_Frame,42.33697166666668,-71.09442,13.4,327459.6181134465,4689315.29788567,19,T
1706905749754923220,11,73750000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905750755995889,12,73751000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905751754296695,13,73752000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905752756629455,14,73753000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905753756129358,15,73754000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905754754442285,16,73755000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905755754006553,17,73756000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905756755481147,18,73757000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905757756045624,19,73758000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905758756050547,20,73759000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905759755551197,21,73760000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905760756348346,22,73761000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905761756407923,23,73762000000000,GPS1_Frame,42.33697166666668,-71.09442,13.3,327459.6181134465,4689315.29788567,19,T
1706905762773858978,24,73763000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905763755474311,25,73764000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905764757440275,26,73765000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905765755709264,27,73766000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905766754370900,28,73767000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905767754968881,29,73768000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905768776537996,30,73769000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905769756309429,31,73770000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905770756495801,32,73771000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905771756011289,33,73772000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905772775592261,34,73773000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905773756403779,35,73774000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905774775231934,36,73775000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905775756407803,37,73776000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905776758031366,38,73777000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905777756851792,39,73778000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905778756035370,40,73779000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905779756450632,41,73780000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905780776177229,42,73781000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905781756367063,43,73782000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905782774969787,44,73783000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905783756228433,45,73784000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905784756336830,46,73785000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905785756892218,47,73786000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905786774696175,48,73787000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905787756131596,49,73788000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905788777670565,50,73789000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905789756814507,51,73790000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905790755851828,52,73791000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905791756398042,53,73792000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905792756906657,54,73793000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905793756303533,55,73794000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905794756753109,56,73795000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905795755615497,57,73796000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905796756672698,58,73797000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905797757659269,59,73798000000000,GPS1_Frame,42.33697166666668,-71.09441833333334,13.2,327459.7554208635,4689315.294503772,19,T
1706905798756425251,60,73799000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.2,327459.7599791753,4689315.479574457,19,T
1706905799760815677,61,73800000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.2,327459.7599791753,4689315.479574457,19,T
1706905800761911013,62,73801000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905801759460150,63,73802000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905802759629685,64,73803000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905803759722564,65,73804000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905804760858726,66,73805000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905805760342606,67,73806000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905806760412212,68,73807000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905807759110036,69,73808000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905808760906108,70,73809000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905809760238467,71,73810000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905810759711846,72,73811000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905811760062159,73,73812000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905812782575637,74,73813000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905813758903134,75,73814000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905814760151912,76,73815000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905815759845737,77,73816000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905816760202839,78,73817000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905817758240605,79,73818000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905818755884383,80,73819000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905819774517888,81,73820000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905820758528115,82,73821000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905821758039431,83,73822000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905822775873820,84,73823000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905823756631777,85,73824000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905824759012418,86,73825000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905825777018457,87,73826000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905826757800499,88,73827000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905827757494121,89,73828000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905828758273768,90,73829000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905829757499111,91,73830000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905830758419329,92,73831000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905831776779138,93,73832000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905832757916298,94,73833000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905833775705412,95,73834000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905834755822661,96,73835000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905835755463654,97,73836000000000,GPS1_Frame,42.336973333333326,-71.09441833333334,13.1,327459.7599791753,4689315.479574457,19,T
1706905836775807060,98,73837000000000,GPS1_Frame,42.336973333333326,-71.09441666666666,13.0,327459.89728658856,4689315.476192561,19,T
1706905837756846563,99,73838000000000,GPS1_Frame,42.336973333333326,-71.09441666666666,13.0,327459.89728658856,4689315.476192561,19,T
1706905838756527971,100,73839000000000,GPS1_Frame,42.336973333333326,-71.09441666666666,13.0,327459.89728658856,4689315.476192561,19,T
1706905839776945570,101,73840000000000,GPS1_Frame,42.336973333333326,-71.09441666666666,13.0,327459.89728658856,4689315.476192561,19,T
1706905840758058733,102,73841000000000,GPS1_Frame,42.336973333333326,-71.09441666666666,13.0,327459.89728658856,4689315.476192561,19,T
1706905841757735594,103,73842000000000,GPS1_Frame,42.336973333333326,-71.09441666666666,13.0,327459.89728658856,4689315.476192561,19,T
1706905842758909933,104,73843000000000,GPS1_Frame,42.336973333333326,-71.09441666666666,13.0,327459.89728658856,4689315.476192561,19,T
1706905843757528751,105,73844000000000,GPS1_Frame,42.336973333333326,-71.09441666666666,13.0,327459.89728658856,4689315.476192561,19,T
1706905844758019119,106,73845000000000,GPS1_Frame,42.336973333333326,-71.09441666666666,13.0,327459.89728658856,4689315.476192561,19,T
1706905845757521944,107,73846000000000,GPS1_Frame,42.336973333333326,-71.09441666666666,13.0,327459.89728658856,4689315.476192561,19,T
1706905846757792476,108,73847000000000,GPS1_Frame,42.336975,-71.09441666666666,12.9,327459.90184489696,4689315.661263247,19,T
1706905847757025516,109,73848000000000,GPS1_Frame,42.336975,-71.09441666666666,12.9,327459.90184489696,4689315.661263247,19,T
1706905848759832566,110,73849000000000,GPS1_Frame,42.336975,-71.09441666666666,12.9,327459.90184489696,4689315.661263247,19,T
1706905849757764159,111,73850000000000,GPS1_Frame,42.336975,-71.09441666666666,12.9,327459.90184489696,4689315.661263247,19,T
1706905850756440457,112,73851000000000,GPS1_Frame,42.336975,-71.09441666666666,12.9,327459.90184489696,4689315.661263247,19,T
1706905851756345646,113,73852000000000,GPS1_Frame,42.336975,-71.09441666666666,12.9,327459.90184489696,4689315.661263247,19,T
1706905852756504999,114,73853000000000,GPS1_Frame,42.336975,-71.094415,12.8,327460.0391523087,4689315.657881353,19,T
1706905853758062296,115,73854000000000,GPS1_Frame,42.336975,-71.094415,12.8,327460.0391523087,4689315.657881353,19,T
1706905854758547589,116,73855000000000,GPS1_Frame,42.336975,-71.094415,12.8,327460.0391523087,4689315.657881353,19,T
1706905855757992781,117,73856000000000,GPS1_Frame,42.336975,-71.094415,12.8,327460.0391523087,4689315.657881353,19,T
1706905856759107400,118,73857000000000,GPS1_Frame,42.336975,-71.094415,12.8,327460.0391523087,4689315.657881353,19,T
1706905857758236368,119,73858000000000,GPS1_Frame,42.336975,-71.094415,12.8,327460.0391523087,4689315.657881353,19,T
1706905858758179547,120,73859000000000,GPS1_Frame,42.336975,-71.094415,12.8,327460.0391523087,4689315.657881353,19,T
1706905859758173418,121,73860000000000,GPS1_Frame,42.336975,-71.094415,12.8,327460.0391523087,4689315.657881353,19,T
1706905860759215041,122,73861000000000,GPS1_Frame,42.336975,-71.094415,12.8,327460.0391523087,4689315.657881353,19,T
1706905861757907591,123,73862000000000,GPS1_Frame,42.336975,-71.094415,12.8,327460.0391523087,4689315.657881353,19,T
1706905862756841799,124,73863000000000,GPS1_Frame,42.336975,-71.094415,12.8,327460.0391523087,4689315.657881353,19,T
1706905863774641420,125,73864000000000,GPS1_Frame,42.336975,-71.094415,12.8,327460.0391523087,4689315.657881353,19,T
1706905864758701328,126,73865000000000,GPS1_Frame,42.336975,-71.094415,12.7,327460.0391523087,4689315.657881353,19,T
1706905865757828838,127,73866000000000,GPS1_Frame,42.336975,-71.094415,12.7,327460.0391523087,4689315.657881353,19,T
1706905866758190413,128,73867000000000,GPS1_Frame,42.336975,-71.094415,12.7,327460.0391523087,4689315.657881353,19,T
1706905867757574392,129,73868000000000,GPS1_Frame,42.336975,-71.094415,12.7,327460.0391523087,4689315.657881353,19,T
1706905868758461082,130,73869000000000,GPS1_Frame,42.336975,-71.094415,12.7,327460.0391523087,4689315.657881353,19,T
1706905869759244711,131,73870000000000,GPS1_Frame,42.336975,-71.094415,12.7,327460.0391523087,4689315.657881353,19,T
1706905870776725969,132,73871000000000,GPS1_Frame,42.336975,-71.094415,12.7,327460.0391523087,4689315.657881353,19,T
1706905871758182668,133,73872000000000,GPS1_Frame,42.336975,-71.094415,12.7,327460.0391523087,4689315.657881353,19,T
1706905872779150371,134,73873000000000,GPS1_Frame,42.336975,-71.09441333333332,12.7,327460.1764597205,4689315.654499463,19,T
1706905873759651074,135,73874000000000,GPS1_Frame,42.336975,-71.09441333333332,12.7,327460.1764597205,4689315.654499463,19,T
1706905874757989074,136,73875000000000,GPS1_Frame,42.336975,-71.09441333333332,12.7,327460.1764597205,4689315.654499463,19,T
1706905875775783021,137,73876000000000,GPS1_Frame,42.336975,-71.09441333333332,12.7,327460.1764597205,4689315.654499463,19,T
1706905876758209613,138,73877000000000,GPS1_Frame,42.336975,-71.09441333333332,12.7,327460.1764597205,4689315.654499463,19,T
1706905877758868818,139,73878000000000,GPS1_Frame,42.336975,-71.09441333333332,12.7,327460.1764597205,4689315.654499463,19,T
1706905878759508870,140,73879000000000,GPS1_Frame,42.336975,-71.09441333333332,12.7,327460.1764597205,4689315.654499463,19,T
1706905879758135060,141,73880000000000,GPS1_Frame,42.336975,-71.09441333333332,12.7,327460.1764597205,4689315.654499463,19,T
1706905880759081167,142,73881000000000,GPS1_Frame,42.336975,-71.09441333333332,12.7,327460.1764597205,4689315.654499463,19,T
1706905881759561118,143,73882000000000,GPS1_Frame,42.336975,-71.09441333333332,12.7,327460.1764597205,4689315.654499463,19,T
1706905882778489908,144,73883000000000,GPS1_Frame,42.336975,-71.09441333333332,12.7,327460.1764597205,4689315.654499463,19,T
1706905883758386533,145,73884000000000,GPS1_Frame,42.336975,-71.09441333333332,12.7,327460.1764597205,4689315.654499463,19,T
1706905884779226135,146,73885000000000,GPS1_Frame,42.336975,-71.09441333333332,12.6,327460.1764597205,4689315.654499463,19,T
1706905885756599232,147,73886000000000,GPS1_Frame,42.336975,-71.09441333333332,12.6,327460.1764597205,4689315.654499463,19,T
1706905886755122499,148,73887000000000,GPS1_Frame,42.336975,-71.09441333333332,12.6,327460.1764597205,4689315.654499463,19,T
1706905887774865586,149,73888000000000,GPS1_Frame,42.336975,-71.09441333333332,12.6,327460.1764597205,4689315.654499463,19,T
1706905888754691247,150,73889000000000,GPS1_Frame,42.336975,-71.09441166666667,12.5,327460.31376712804,4689315.651117575,19,T
1706905889759696275,151,73890000000000,GPS1_Frame,42.336975,-71.09441166666667,12.5,327460.31376712804,4689315.651117575,19,T
1706905890778502364,152,73891000000000,GPS1_Frame,42.336975,-71.09441166666667,12.5,327460.31376712804,4689315.651117575,19,T
1706905891758068472,153,73892000000000,GPS1_Frame,42.336975,-71.09441166666667,12.5,327460.31376712804,4689315.651117575,19,T
1706905892759076919,154,73893000000000,GPS1_Frame,42.336975,-71.09441166666667,12.5,327460.31376712804,4689315.651117575,19,T
1706905893759318795,155,73894000000000,GPS1_Frame,42.336975,-71.09441166666667,12.5,327460.31376712804,4689315.651117575,19,T
1706905894758125655,156,73895000000000,GPS1_Frame,42.336975,-71.09441166666667,12.5,327460.31376712804,4689315.651117575,19,T
1706905895758853856,157,73896000000000,GPS1_Frame,42.336975,-71.09441166666667,12.4,327460.31376712804,4689315.651117575,19,T
1706905896761710503,158,73897000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905897760440989,159,73898000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905898758677299,160,73899000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905899758414511,161,73900000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905900759565995,162,73901000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905901763420170,163,73902000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905902761548719,164,73903000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905903760142596,165,73904000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905904761342199,166,73905000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905905763210759,167,73906000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905906762521081,168,73907000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905907763267330,169,73908000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905908763801679,170,73909000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905909763065022,171,73910000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905910761744343,172,73911000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905911759992077,173,73912000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905912763419711,174,73913000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905913783068631,175,73914000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905914762731833,176,73915000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905915758675533,177,73916000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905916760627870,178,73917000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905917759984568,179,73918000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905918758615450,180,73919000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905919759452816,181,73920000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905920761388815,182,73921000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905921780464916,183,73922000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905922760164691,184,73923000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905923780315223,185,73924000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905924761287867,186,73925000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905925761633864,187,73926000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905926779699839,188,73927000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905927760213649,189,73928000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905928763874507,190,73929000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905929763199226,191,73930000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905930763019193,192,73931000000000,GPS1_Frame,42.33697666666667,-71.09441166666667,12.4,327460.3183254256,4689315.836188262,19,T
1706905931762807934,193,73932000000000,GPS1_Frame,42.33697666666667,-71.09441,12.4,327460.45563283376,4689315.832806377,19,T
1706905932766456431,194,73933000000000,GPS1_Frame,42.33697666666667,-71.09441,12.4,327460.45563283376,4689315.832806377,19,T
1706905933783797045,195,73934000000000,GPS1_Frame,42.33697666666667,-71.09441,12.4,327460.45563283376,4689315.832806377,19,T
1706905934763509700,196,73935000000000,GPS1_Frame,42.33697666666667,-71.09441,12.4,327460.45563283376,4689315.832806377,19,T
1706905935762788607,197,73936000000000,GPS1_Frame,42.33697666666667,-71.09441,12.4,327460.45563283376,4689315.832806377,19,T
1706905936783725619,198,73937000000000,GPS1_Frame,42.33697666666667,-71.09441,12.4,327460.45563283376,4689315.832806377,19,T
1706905937764480414,199,73938000000000,GPS1_Frame,42.33697666666667,-71.09441,12.4,327460.45563283376,4689315.832806377,19,T
1706905938784052547,200,73939000000000,GPS1_Frame,42.33697666666667,-71.09441,12.4,327460.45563283376,4689315.832806377,19,T
1706905939763159877,201,73940000000000,GPS1_Frame,42.33697666666667,-71.09441,12.4,327460.45563283376,4689315.832806377,19,T
1706905940763761891,202,73941000000000,GPS1_Frame,42.33697666666667,-71.09441,12.4,327460.45563283376,4689315.832806377,19,T
1706905941781572822,203,73942000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
1706905942763147236,204,73943000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
1706905943762811376,205,73944000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
1706905944763626267,206,73945000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
1706905945763832963,207,73946000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
1706905946763285106,208,73947000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
1706905947763491524,209,73948000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
1706905948763665449,210,73949000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
1706905949764048421,211,73950000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
1706905950764353079,212,73951000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
1706905951763576234,213,73952000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
1706905952764845618,214,73953000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
1706905953764126880,215,73954000000000,GPS1_Frame,42.33697666666667,-71.09441,12.3,327460.45563283376,4689315.832806377,19,T
